,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
3943,https://www.zomato.com/bangalore/petoo-hsr-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODc5MjAxIiwiMTg2NTY2NTAiLCIxODY5OTgxMiIsIjE4NzYyNTM4IiwxODY2OTAzMSwiMTg4OTAwMDEiLCIxODYxMjkwOSIsIjE4NTk3NzA1IiwiMTg1NjIyNzMiLCI1ODk5NyIsIjUzMzcyIiwiMTg1ODg1MjMiLCIxODAxMTY2NCIsIjE4NjY3ODYxIiwiNTk4NDYiLCIxODU3MTQ4NSIsIjE4ODgyNzYzIiwiMTg1NTk0NjciLCIxODczNTIzNCIsIjE4ODk0NzM3IiwiMTg3NTc0NDciLCI1ODU3MSIsIjE4NTk5ODM3IiwiMTg2NTA5ODAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJlbGxhbmR1ciJ9fQ==,"191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, Bangalore",Petoo,Yes,No,4.1/5,103,+91 7899670003,HSR,Quick Bites,"Biryani, Gulab Jamun, Shikanji, Kulfi, Chaat","North Indian, Fast Food, Street Food",800,[],Delivery,Bellandur
8160,https://www.zomato.com/bangalore/sudhir-vada-pav-paratha-center-marathahalli-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjQ4ODczIiwiMTg2ODI3MzQiLCIxODc2Mzg2OSIsIjE4Nzg1NjU5IiwxODY0Nzk4MCwiMTg5MDI2OTgiLCIxODQzMzE0MSIsIjE4NjEwOTkyIiwiMTg2NDc5NDIiLCI2MTM0NyIsIjE4ODcyOTMzIiwiMTg4NjcxNDkiLCIxODg1MTQzMCIsIjE4MzQ2MzE5IiwiMTg1NzE0NjMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJyb29rZWZpZWxkIn19,"2nd Main Near Mariyamma Temple, Chinnapanahalli, Bangalore",Sudhir Vada Pav & Paratha Center,Yes,No,3.4/5,11,+91 7795147021,Marathahalli,Quick Bites,,Street Food,250,[],Dine-out,Brookefield
25306,https://www.zomato.com/bangalore/cold-smith-ice-creams-nagawara-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzYzMjcyIiwiMTg2NzI3MzIiLCI1MTMzOCIsIjUxNzAyIiwxODc5OTY5OCwiNTY1NDQiLCI1NzY1MiIsIjE4MTYyODk0IiwiNTIwMjciLCIxODU5MDI5MyIsIjE4NjQ3MDc5IiwiMTgzNDM5ODUiLCIxODc0MDIyNiIsIjE4NjIyNjQwIiwiNTQ3MzkiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEthbW1hbmFoYWxsaSJ9fQ==,"4th Floor, Elements Mall, Thanisandra Road, Nagawara, Bangalore",Cold Smith Ice Creams,Yes,No,4.1/5,24,080 49653140,Nagawara,Food Court,,"Ice Cream, Desserts",450,"['Red Velvet Roll', 'Mr Oreo Roll', 'Ferrero Roll', 'Cream n Cookies Milkshake', 'Belgian Dark Chocolate', 'Double Chocolate Therapy', 'Nutty Chocolate Swirl', 'Signore Ferrero', 'Strawberry Fields', 'Blue Devils', 'Dream Team Waffle', 'Caramel PopCorn', 'Waffle Au Chocolate', 'Red Velvet Roll', 'Mango Roll', 'Litchi Roll', 'Kiwi Roll', 'Mr Oreo Roll', 'Fig and Honey Roll', 'Blueberry Roll', 'Snicker Licker Roll', 'Ferrero Roll', 'Fantastic Fudge Milkshake', 'Rockin Strawberry Milkshake', 'Cream n Cookies Milkshake', 'Decadent Brownie Milkshake', 'Fully Loaded Milkshake', 'Greek Coffee Frappe Milkshake', 'Fruit Power Shower Milkshake', 'Fantastic Fudge Thickshake', 'Rockin Strawberry Thickshake', 'Cream n Cookies Thickshake', 'Pure Gold Magic Thickshake', 'Decadent Brownie Thickshake', 'Fully Loaded Thickshake', 'Greek Coffee Frappe Thickshake', 'Fruit Power Shower Thickshake', 'Daily Waffle', 'Strawberry Fields', 'Blue Devils', 'Dream Team Waffle', 'Caramel PopCorn', 'American Pie Waffle', 'Waffle Au Chocolate', 'Brownie', 'French Vanilla', 'Fresh Cream', 'Streaky Choco Chips', 'Chocolate Temptation', 'Mocha Coffee Cream', 'Swiss Strawberry Ice Cream', 'Paan Ice Cream', 'Natural Mint Ice Cream', 'Pina Colada Ice Cream', 'Salted Caramel Ice Cream', 'Strawberry Cheesecake', 'Dark Chocolate Sea Salt', 'Rocky Road', 'Belgian Dark Chocolate', 'Double Chocolate Therapy', 'Manic Monkey', 'Chocolate Assassin', 'Nutty Chocolate Swirl', 'The Inscrutable', 'Signore Ferrero', 'Fruit Farm', 'Very Very Berry', 'Strawberry Cheesecake Ny Style', 'Angel Apple Pie', 'Black Forest Blend', 'Knight In Armour', 'Mint Cookie Monster', 'C3 Coffee Cookie Crumble', 'Brownie Break', 'Karamel Brownie Sutra', 'Wonderland Magic', 'Charlie and The Chocolate Factory']",Delivery,Kammanahalli
1821,https://www.zomato.com/bangalore/navabs-kumaraswamy-layout-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDEyNDMwIiwiMTg3OTY3NjQiLCIxODc5Njc3MSIsIjE4Nzk2NzcwIiwxODc5MzkyNywiMTg4ODQxNDciLCIxODc2Mjg2MyIsIjE4ODg4MzkzIiwiMTg5MDI3MDAiLCIxODc2NDE1MCIsIjE4NzcwMTg4IiwiMTg3NzI1MzYiLCIxODc1MTk2OCIsIjE4Nzc1OTY1IiwiMTg4MjU2MDIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19,"139, 72nd Cross, Kumaraswamy Layout, Banashankari, Bangalore",Navab's,Yes,No,,0,"+91 7065787888
+91 9910009994",Kumaraswamy Layout,Delivery,,"North Indian, Chinese",600,[],Delivery,Bannerghatta Road
39850,https://www.zomato.com/bangalore/viking-malleshwaram?context=eyJzZSI6eyJlIjpbIjU5Nzk3IiwiNTM5OTUiLCI1NDA1MCIsIjE4NjMxMjIwIiw1MjAyNiwiNTAyODIiLCIxODE2NTc4OSIsIjUwODg3IiwiMTg3Mzc2MzciLCIxODc0ODA3MSIsIjE4NTUyOTkyIiwiNTc3NTIiLCIxODkyNDgxNSIsIjE4OTM5NzkwIiwiMTg0MTk4MTciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIE1hbGxlc2h3YXJhbSJ9fQ==,"136, Near MES College, 8th Main, 15th Cross, Malleshwaram, Bangalore",Viking,No,No,2.9 /5,86,"080 23444411
+91 9845772557",Malleshwaram,Casual Dining,,"Chinese, North Indian",450,[],Delivery,Malleshwaram
48398,https://www.zomato.com/bangalore/spice-it-richmond-road?context=eyJzZSI6eyJlIjpbIjYwODEzIiwiNjE0NzYiLCI1MTA0NyIsIjUxNjUyIiw1OTgzNywiMTg2ODEzMzciLCIxODc0OTY5NCIsIjE4NDgwMDE3IiwiMTg4NTM0MzgiLCIxODYxOTAyNCIsIjE4NjIyOTMzIiwiNTgxOTciLCIxODYxNjk2OSIsIjU1OTcwIiwiNTQwOTEiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIFJlc2lkZW5jeSBSb2FkIn19,"Ibis Hotel, Bengaluru City Centre, Plot 30, Rajaram Mohan Roy Road, Off Richmond Road, Richmond Road, Bangalore",Spice It,No,No,3.8 /5,52,"080 42548005
+91 7022032592",Richmond Road,Casual Dining,"Noodles, Fish","North Indian, Continental, Italian","1,200",[],Dine-out,Residency Road
44072,https://www.zomato.com/bangalore/ovenstory-pizza-sahakara-nagar?context=eyJzZSI6eyJlIjpbIjE4NzkwMDU1IiwiNTAyNTEiLCIxODU3Nzc5MSIsIjE4NDAyOTAwIiwxODQ2MDA0MywiMTg1NjI3ODAiLCIxODc0MjMyNiIsIjE4NTk3NzM4IiwiNTg3OTgiLCIxODYxNzk1NiIsIjE4MzU5MTM2IiwiNTk1ODEiLCIxODc3NDg3MiIsIjE4MzEzNTIzIiwiMTg1NTE3MzYiLCI1MDgxOCIsIjE4ODkwMzIxIiwiNTAyODYiLCI1NDA0NSIsIjE4NDI2MzgyIiwiMTg4NTU5MzMiLCIxODU2OTExOCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gTmV3IEJFTCBSb2FkIn19,"282, 1st Main Road, D-Block, Sahakara Nagar, Bangalore",Ovenstory Pizza,Yes,No,4.0 /5,120,+91 7738383000,Sahakara Nagar,Delivery,Pizza,Pizza,800,"['Farmfresh Supreme', 'Maharaja Veg Pizza', 'Non-veg Paradise Pizza', 'Classic Margherita', 'Corn Veggie Delight Pizza', 'Veg Overload Pizza', 'Exotica Paneer Pizza', 'Spanish Sunshine', 'Chicken Delight Pizza', 'Smoked Chicken Sausage Pizza', 'Big Western Cheese Burst Pizza', 'Chicken Tikka & Kheema Cheese Burst Pizza', 'Famous Five Cheese Burst Pizza', 'Farmfresh Supreme Cheese Burst Pizza', 'Kheema & Sausage Cheese Burst Pizza', 'Middle Eastern Supreme Cheese Burst Pizza', 'Mutton Overload Cheese Burst Pizza', 'Non-Veg Paradise Cheese Burst Pizza', 'Picante Paneer Cheese Burst Pizza', 'Farmfresh Supreme', 'Middle Eastern Supreme', 'Chicken Tikka & Kheema', 'Kheema & Sausage Pizza', 'Mutton Overload Pizza', 'Picante Paneer Pizza', 'Maharaja Veg Pizza', 'Chicken Maximus Pizza', 'Non-veg Paradise Pizza', 'Big Western Pizza', 'Famous Five Pizza', 'Classic Margherita', 'Corn Veggie Delight Pizza', 'Veg Overload Pizza', 'Exotica Paneer Pizza', 'Spanish Sunshine', 'Chicken Delight Pizza', 'Double Chicken Feast Pizza', 'Smoked Chicken Sausage Pizza', 'Molten Lava Cake', 'Chocolate Decadence (Pack of 2)', 'CheeseCake (Pack Of 2)', 'Chocolate Decadence + CheeseCake', 'Red Velvet Cake With Butter Cream Frosting (750 Gm)', 'Red Velvet Slice Cake (Pack of 2)', 'Red Velvet Slice Cake & Cheese Cake (Pack of 2)', 'Red Velvet Slice Cake & Chocolate Decadence Cake (Pack of 2)', 'Valentine Red Velvet Jar', 'Valentine Chocolate Jar', 'Valentines Jar Combo', 'Gajar Ka Halwa (Single Serve)', 'Pink Guava 500 ML', 'SWIG Green apple', 'Cheese Dip (20 gm)', '4 Cheese Dips Combo', 'Peri Peri Cheese Dip (20gm)', 'Chipotle Cheese Dip (20gm)', 'Coca-Cola Can 330 ML', 'Fanta Can 330 ML']",Delivery,New BEL Road
48210,https://www.zomato.com/bangalore/the-white-room-coffee-kitchen-church-street?context=eyJzZSI6eyJlIjpbIjE4OTM1OTY0IiwiNTEwMzgiLCIxODUyMzExOCIsIjU5NzIzIiwxNzk1NjY3MSwiMTg4MDI2OTYiLCI1MDY2MSIsIjUwMzE4IiwiNjE0NTIiLCI1MzA2MSIsIjE4NzQxODkyIiwiNTU5MDgiLCI1MDQ3MyIsIjE4NzM0MDk0IiwiNTA2MTIiLCIxODc5NDk4OSIsIjE4NTU1Mzc1IiwiNTk4NjkiLCI1MDE0MSIsIjE4NzE4MzI4IiwiNTAyMjAiLCIxODU2NTA3OCJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gUmVzaWRlbmN5IFJvYWQifX0=,"33, High Gates Hotel, Church Street, Bangalore",The White Room - Coffee & Kitchen,No,Yes,4.1 /5,1750,"080 40222999
+91 7406195000",Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Caramel Frappe, Espresso, Chocolate Milkshake, Tea","Cafe, Continental, American, Desserts","1,000",[],Dine-out,Residency Road
29172,https://www.zomato.com/bangalore/ayush-reddy-tiffins-fast-food-center-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4Njc5NTM0IiwiMTg2Nzk0ODYiLCIxODY4MzI0NiIsIjE4NjU3NTk3IiwxODY5NjU5OCwiMTg3NDg3MzAiLCIxODc2NTkwMiIsIjE4NzgwNjcyIiwiMTg3ODQ4MjIiLCIxODc4MDI3OCIsIjE4OTAwMTM2IiwiMTg3Mjc1OTIiLCIxODkzMTk0MCIsIjE4NDY3MjEyIiwiMTg2ODM5NjgiLCIxODY4MDQxNyIsIjU2NjY4IiwiMTg4Nzk3OTgiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDR0aCBCbG9jayJ9fQ==,"100, 8th Cross Road, Chikka Madivala, 1st Stage, BTM, Bengaluru",Ayush Reddy Tiffins & Fast Food Center,No,No,,0,+91 7893037059,BTM,Quick Bites,,"South Indian, Fast Food, Chinese",300,[],Dine-out,Koramangala 4th Block
9826,https://www.zomato.com/bangalore/zengi-pub-restaurant-btm?context=eyJzZSI6eyJlIjpbIjU1OTE5IiwiNTg3ODYiLCIxODc4OTgyOCIsIjE4NjA1NDA5IiwxODYzMjM2MSwiNTg2NjUiLCIxODc3MTE1NyIsIjE4MjM3OTA1IiwiMTg1OTQ5MzciLCI1MzIzMCIsIjU3MDM5IiwiNTIyOTEiLCI1MDU4NCIsIjE4NDE0Mzc1IiwiMTg0MjI5MjQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"805 A, 3rd Floor, 7th Cross, 2nd Stage, BTM Layout, BTM, Bangalore",Zengi Pub & Restaurant,Yes,No,3.7/5,32,+91 8217794843,BTM,"Pub, Casual Dining",,"Finger Food, Continental, Chinese",900,"['Chicken Mushroom Cream Soup', 'Kasundi Paneer Tikka', 'Fish Fingers', 'Chicken Lollipop', 'Veg Arrabiata Pasta', 'Veg Platter', 'Cottage Cheese Hawaiian with Rice [Half]', 'Non Veg Platter', 'Cream of Broccoli Soup', 'Roasted Carrot Soup', 'Spinach Cream Soup', 'Veg Mushroom Cream Soup', 'Veg Manchow Soup', 'Chicken Noodles Soup', 'Chicken Mushroom Cream Soup', 'Chicken Manchow Soup', 'American Corn Salad', 'Fresh Garden Green Salad', 'Russian Salad', 'Orange Chicken Salad', 'Kasundi Paneer Tikka', 'Hariyali Chicken Murgh', 'Murgh Tikka', 'Kasundi Fish Tikka', 'Tandoori Prawns', 'Lavonese Cottage Cheese', 'Crispy Fantastic', '3 Musketeers', 'Chaat with Corn', 'Jalapeno Cheese Ball', 'Sallondor Chicken', 'Steamed Chicken', 'Cucumber Chicken', 'Tabasco Chicken', 'Chicken Wings', 'Oriental Chicken', 'Halif Stuffed Chicken', 'Fish Fingers', 'Prawns Crumb', 'Oriental Style Paneer', 'Mushroom Chilly', 'Baby Corn Chilly', 'Chow Chow Manchurian', 'Gobi Manchurian', 'Potato Basket', 'American Crispy Corn', 'Tadka Paneer Chilly', 'Jalapeno Cheese Ball', 'Baby Corn Stick', 'French Fries', 'Potato Wedges', 'Vegetable Spring Roll', 'Veg Shaolin Sticks', 'Chicken Manchurian', 'Pepper Chicken', 'Chicken Satay', 'Lemon Chicken', 'Kodi Kabab', 'Boneless Kodi Kabab', 'Lemon Chicken Popcorn', 'Crispy Chicken', 'Chicken Lollipop', 'Schezwan Chicken Wings', 'Dragon Chicken', 'Fusion Fire Chicken', 'Basil Chicken', 'Cha Ca Thang Long', 'Fish Mexicano', 'Fish Chilly', 'Salt and Pepper Prawns', 'Lemon Butter Garlic Prawns', 'Drunken Prawns', 'Paneer Butter Masala', 'Veg Kadai', 'Palak Paneer', 'Dal Fry', 'Gobi Matar Masala', 'Chicken Kali Mirch', 'Kadai Chicken', 'Chicken Tikka Masala', 'Butter Chicken', 'Hyderabadi Chicken', 'Chicken Curry', 'Grilled Panner Steak with Baby Potato', 'Corn Spinach Mushroom with Garlic Bread', 'Mushroom Masala Mixed Bell Pepper', 'Roti', 'Chapati', 'Tandoori Roti', 'Butter Naan', 'Kulcha', 'Butter Kulcha', 'Grilled Paneer Pineapple Burger', 'Veg Hari Burger', 'Book Took Veg Burger', 'Spinach Corn Burger', 'Grilled Chicken Burger', 'Honey Mustard Chicked Burger', 'Book Took Chicken Burger', 'Cheese Chilly Toasted Sandwich', 'Veg Club Sandwich', 'Corn Cheese Sandwich', 'Chicken Tikka Sandwich', 'Chicken Club Sandwich', 'Ghee Rice', 'Jeera Rice', 'Veg Schezwan Fried Rice', 'Veg Fried Rice', 'Veg Burnt Ginger and Capsicum Rice', 'Veg Shanghai Fried Rice', 'Veg Burnt Ginger Noodles', 'Veg Hakka Noodles', 'Veg Shanghai Noodles', 'Veg Hong Kong Noodles', 'Veg Singapore Noodles', 'Veg Schezwan Triple Noodles', 'Egg Schezwan Fried Rice', 'Egg Fried Rice', 'Egg Burnt Ginger and Capsicum Rice', 'Egg Shanghai Fried Rice', 'Egg Burnt Ginger Noodles', 'Egg Hakka Noodles', 'Egg Shanghai Noodles', 'Chicken Schezwan Fried Rice', 'Chicken Fried Rice', 'Chicken Burnt Ginger and Capsicum Rice', 'Chicken Shanghai Fried Rice', 'Chicken Burnt Ginger Noodles', 'Chicken Hakka Noodles', 'Chicken Shanghai Noodles', 'Chicken Hong Kong Noodles', 'Chicken Singapore Noodles', 'Chicken Schezwan Triple Noodles', 'Prawns Schezwan Fried Rice', 'Prawns Fried Rice', 'Prawns Burnt Ginger and Capsicum Rice', 'Prawns Shanghai Fried Rice', 'Prawns Burnt Ginger Noodles', 'Prawns Hakka Noodles', 'Prawns Shanghai Noodles', 'Veg Alfredo Pasta', 'Veg Arrabiata Pasta', 'Veg Obley Obley Pasta', 'Veg Pesto Pasta', 'Chicken Alfredo Pasta', 'Chicken Arrabiata Pasta', 'Chicken Obley Obley Pasta', 'Chicken Pesto Pasta', 'Blackcurrant Fizzy', 'Green Apple Fizzy', 'Litchi Fizzy', 'Orange Fizzy', 'Virgin Mojito', 'Blue Lagoon', 'Blue Hawaiin', 'Electric Shock', 'Smokey Mocktail', 'Zengi Special Mocktail', 'Cold Mocha Milkshake', 'Oreo Milkshake', 'Cookie Milkshake', 'Kit Kat Milkshake', 'Snickers Milkshake', 'Tonic Water', 'Red Bull', 'Lemonade Beer', 'Fruit Beer', 'Shandy Beer', 'Orange Beer', 'Mint Fresh Beer']",Delivery,BTM
30198,https://www.zomato.com/bangalore/tasty-jigarthanda-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODU1OTU3IiwiMTg1ODk5NTMiLCI1MTI1NSIsIjYxMDE5IiwxODc5NTA3NiwiMTg3NjY3MDEiLCIxODUzMTcyNCIsIjE4NDE4NTY1IiwiNTg4MDIiLCIxODUyMjU4OCIsIjE4Nzg1NDQyIiwiMTgzODczOTMiLCIxODY1MzU2OCIsIjE4NjgyOTA3IiwiMTg2ODA1NDQiLCIxODcyMTY2MCIsIjE4NzAyNTA3IiwiMTg4NzkxNzkiLCIxODkwMDM2NiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gS29yYW1hbmdhbGEgNXRoIEJsb2NrIn19,"99, 100ft Ring Road, 2nd Colony, 1st Stage, BTM, Bangalore",Tasty Jigarthanda,Yes,No,3.4 /5,11,+91 9790447882,BTM,Beverage Shop,,"Beverages, Ice Cream",150,"['Original Madurai Jigarthanda', 'Original Special Madurai Jigarthanda', 'Nuts Jiagarthanda', 'Special Nuts Jigarthanda', 'Choclate Jigarthanda', 'Mango Jigarthanda', 'Special Choclate Jigarthanda', 'Special Mango Jigarthanda', 'Original Madurai Jigarthanda', 'Original Special Madurai Jigarthanda', 'Nuts Jiagarthanda', 'Special Nuts Jigarthanda', 'Choclate Jigarthanda', 'Mango Jigarthanda', 'Pinaple Jigarthanda', 'Stawberry Jigarthanda', 'Special Choclate Jigarthanda', 'Special Mango Jigarthanda', 'Special Pinapple Jigarthanda', 'Special Stawberry Jigarthanda']",Delivery,Koramangala 5th Block
7743,https://www.zomato.com/bangalore/apsara-ice-cream-2-whitefield-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzcyNjMyIiwiMTg2MjU0NjYiLCIxODk0MzU4OCIsIjE4NDk5NzA1IiwxODgxNjUzNCwiMTg2NTA2MjQiLCIxODQ0ODM3MiIsIjE4NTI4MzQ1IiwiMTg0ODkxMzEiLCIxODk0ODU5MSIsIjE4NTUxNjY3IiwiMTg4ODY4MzIiLCIxODkyMTI4MSIsIjE4OTMzOTc4IiwiMTg2NTA3NzYiLCIxODk2NDU1NyJdLCJ0IjoiRGVzc2VydHMgJiBCYWtlcyBpbiBCcm9va2VmaWVsZCJ9fQ==,"84/B1, Sriram Arcade, Near Axis Bank, Opposite Nitesh Flushing Meadows, Seegehalli, Kadugodi, Whitefield, Bangalore",Apsara Ice Cream,No,No,3.2/5,4,+91 6363409253,Whitefield,Dessert Parlor,,"Ice Cream, Desserts",200,[],Desserts,Brookefield
39005,https://www.zomato.com/bangalore/gundappa-donne-biryani-st-marks-road?context=eyJzZSI6eyJlIjpbIjU0ODMzIiwiMTg3MTI4MzAiLCIxODMyNTI5NSIsIjU1MzQ2Iiw1OTU3OSwiNTIxMjIiLCIxODQzOTYyMSIsIjE4NjM2NTczIiwiMTg2NTM0MjUiLCI1NDM3MyIsIjYxNTkxIiwiNTc2MjkiLCIxODU5OTE1NiIsIjUyMTIwIiwiNTQ4MzAiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIExhdmVsbGUgUm9hZCJ9fQ==,"14/13, St. Marks Road, Bangalore",Gundappa Donne Biryani,No,No,3.7 /5,163,"080 42352255
+91 8197234868",St. Marks Road,Quick Bites,"Chilli Chicken, Mutton Biryani, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",Biryani,300,[],Dine-out,Lavelle Road
13826,https://www.zomato.com/bangalore/the-magic-chef-electronic-city?context=eyJzZSI6eyJlIjpbIjYxMTMxIiwiMTgyMjQ2NTUiLCIxODI2MzM5MiIsIjE4MzA1NjUzIiw1ODYxMSwiNTkyOTMiLCI1NDI1NyIsIjE4Njk2NDI4IiwiMTg3MDM1NTIiLCIxODc1NDk5MyIsIjE4Nzc0NDMxIiwiMTg4MTI5MTAiLCIxODYwNDY3MiIsIjE4NjQyMDI1IiwiMTg2NDQ1MTAiLCIxODYwMjk1OCIsIjE4NjI0MzI2IiwiMTg2NTM3NjQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEVsZWN0cm9uaWMgQ2l0eSJ9fQ==,"Sparsh Hospital Road, Bommasandra, Electronic City, Bangalore",The Magic Chef,No,No,3.7/5,28,+91 8105953923,Electronic City,Quick Bites,,"North Indian, Chinese",300,[],Delivery,Electronic City
